source,city,product_name,brand,selling_price,mrp,discount,availability,product_url,category,subcategory,pack_size
blinkit,Gurgaon,Banana,,44.0,56.0,21% OFF,In Stock,https://blinkit.com/prn/banana/prid/3874,vegetables_fruits,all,3 pcs
blinkit,Gurgaon,Coriander Bunch (Dhaniya Patta),,26.0,32.0,18% OFF,In Stock,https://blinkit.com/prn/coriander-bunch-dhaniya-patta/prid/3889,vegetables_fruits,all,100 g
blinkit,Gurgaon,Orange Carrot (Gajar),,22.0,28.0,21% OFF,In Stock,https://blinkit.com/prn/orange-carrot-gajar/prid/3913,vegetables_fruits,all,200 g
blinkit,Gurgaon,Lemon,,65.0,82.0,20% OFF,In Stock,https://blinkit.com/prn/lemon/prid/229627,vegetables_fruits,all,200 g
blinkit,Gurgaon,Onion (Pyaz),,56.0,67.0,16% OFF,In Stock,https://blinkit.com/prn/onion-pyaz/prid/530158,vegetables_fruits,all,1 kg
blinkit,Gurgaon,English Cucumber (Kheera),,33.0,37.0,10% OFF,In Stock,https://blinkit.com/prn/english-cucumber-kheera/prid/23343,vegetables_fruits,all,500 g
blinkit,Gurgaon,Green Chilli (Hari Mirch),,12.0,14.0,14% OFF,In Stock,https://blinkit.com/prn/green-chilli-hari-mirch/prid/423735,vegetables_fruits,all,100 g
blinkit,Gurgaon,Ginger (Adrak),,42.0,49.0,14% OFF,In Stock,https://blinkit.com/prn/ginger-adrak/prid/95032,vegetables_fruits,all,200 g
blinkit,Gurgaon,Green Capsicum (Shimla Mirch),,26.0,32.0,18% OFF,In Stock,https://blinkit.com/prn/green-capsicum-shimla-mirch/prid/3888,vegetables_fruits,all,250 g
blinkit,Gurgaon,Baby Banana,,44.0,50.0,12% OFF,In Stock,https://blinkit.com/prn/baby-banana/prid/342340,vegetables_fruits,all,4 pcs
blinkit,Gurgaon,Jumbo Blueberry,,319.0,382.0,16% OFF,In Stock,https://blinkit.com/prn/jumbo-blueberry/prid/737062,vegetables_fruits,all,125 g
blinkit,Gurgaon,Button Mushroom,,47.0,55.0,14% OFF,In Stock,https://blinkit.com/prn/button-mushroom/prid/253317,vegetables_fruits,all,180 g
blinkit,Gurgaon,Potato (Aloo),,22.0,25.0,12% OFF,In Stock,https://blinkit.com/prn/potato-aloo/prid/199435,vegetables_fruits,all,1 kg
blinkit,Gurgaon,French Beans - 250 g,,27.0,35.0,22% OFF,In Stock,https://blinkit.com/prn/french-beans-250-g/prid/4916,vegetables_fruits,all,250 g
blinkit,Gurgaon,Cauliflower (Phool Gobhi),,60.0,76.0,21% OFF,In Stock,https://blinkit.com/prn/cauliflower-phool-gobhi/prid/339153,vegetables_fruits,all,400 g
blinkit,Gurgaon,Tender Coconut (Nariyal),,90.0,108.0,16% OFF,In Stock,https://blinkit.com/prn/tender-coconut-nariyal/prid/421756,vegetables_fruits,all,1 pc
blinkit,Gurgaon,Bottle Gourd (Lauki),,17.0,22.0,22% OFF,In Stock,https://blinkit.com/prn/bottle-gourd-lauki/prid/217614,vegetables_fruits,all,400 g
blinkit,Gurgaon,Hybrid Tomato (Tamatar),,30.0,35.0,14% OFF,In Stock,https://blinkit.com/prn/hybrid-tomato-tamatar/prid/367909,vegetables_fruits,all,500 g
blinkit,Gurgaon,Desi Tomato (Tamatar),,35.0,41.0,14% OFF,In Stock,https://blinkit.com/prn/desi-tomato-tamatar/prid/366032,vegetables_fruits,all,500 g
